gene,f_score,p_value
ENSG00000224215.1,1768.9288369530639,6.3787086843404936e-161
ENSG00000180440.4,1686.5115704182558,4.12562957385411e-157
ENSG00000261863.1,1330.4945170387866,8.967367354127176e-139
ENSG00000150625.16,1249.671078755472,4.1850960426621517e-134
ENSG00000108576.10,1169.166906033043,3.1361846629065176e-129
ENSG00000158764.7,1163.36836245082,7.190083891002452e-129
ENSG00000140600.17,1132.8663403650007,5.9370142885281335e-127
ENSG00000161649.13,1072.3483967123539,4.869307797526944e-123
ENSG00000102683.8,1071.6704810928218,5.397312617215823e-123
ENSG00000154342.6,896.9997862195178,9.203041327201849e-111
ENSG00000169218.14,885.659352057587,6.4790908147736e-110
ENSG00000197465.14,871.7104085003707,7.309249910280814e-109
ENSG00000135604.10,843.2430113067619,1.11191487099614e-106
ENSG00000159307.19,810.0233816622574,4.502232239921408e-104
ENSG00000246430.7,806.6320866004032,8.383366534319029e-104
ENSG00000235387.5,802.8674933542503,1.6748395960155432e-103
ENSG00000182010.11,793.9470122607563,8.704402922759479e-103
ENSG00000134115.13,780.1656499632514,1.1365014041280798e-101
ENSG00000168952.15,778.5676180982243,1.5337546351732417e-101
ENSG00000234281.5,762.4038175625143,3.2512545015835616e-100
ENSG00000148488.17,755.4682799204061,1.2203980157399413e-99
ENSG00000155511.18,754.121311663115,1.5792309235274132e-99
ENSG00000168309.18,732.721132927673,9.857599972152412e-98
ENSG00000263155.6,727.0706924027356,2.972764917749424e-97
ENSG00000092051.17,707.2192842860442,1.4982654360157803e-95
ENSG00000228401.5,704.9884289591787,2.337243775955513e-95
ENSG00000167434.10,691.1211456063998,3.7797249755948717e-94
ENSG00000123119.12,689.3923101212546,5.360089567894063e-94
ENSG00000168481.9,681.4864561169809,2.6659394628788257e-93
ENSG00000055813.6,678.9923428119123,4.432348881453461e-93
ENSG00000171509.16,677.8014157098171,5.652323908559894e-93
ENSG00000120156.22,665.9434803847565,6.451401918706917e-92
ENSG00000162367.11,661.1661648275601,1.7330391380198315e-91
ENSG00000268388.6,660.8784821724441,1.8395411826188448e-91
ENSG00000170323.9,657.235504349878,3.919896685661426e-91
ENSG00000186994.11,652.1758066263213,1.1256174172062333e-90
ENSG00000148677.7,648.6565039406479,2.351052549688092e-90
ENSG00000176771.17,644.1240855307909,6.091304008383198e-90
ENSG00000072163.20,637.1984218194036,2.6287416458188353e-89
ENSG00000286256.2,616.3649315172011,2.2615218021557203e-87
ENSG00000266120.1,609.404109012477,1.0212344562897939e-86
ENSG00000253959.1,591.5476355715306,5.1084974725046705e-85
ENSG00000243566.7,584.4309812884558,2.4746737660087225e-84
ENSG00000136160.17,582.6709257504508,3.6618610343583455e-84
ENSG00000249741.2,581.7721160029989,4.474250797698984e-84
ENSG00000132622.11,580.7066733350839,5.675032280888878e-84
ENSG00000238018.2,580.550920157547,5.87584876571761e-84
ENSG00000277494.2,576.3169028225116,1.5152286685965108e-83
ENSG00000167588.13,574.3589017021519,2.3512472156159644e-83
ENSG00000070778.13,573.1239066148062,3.1034295432260658e-83
ENSG00000154721.15,561.906079581989,3.920999277797516e-82
ENSG00000010319.7,561.709414418102,4.100302872936472e-82
ENSG00000047648.23,559.2998436615242,7.096519192061085e-82
ENSG00000105227.16,557.4656057496345,1.07837366836336e-81
ENSG00000165312.6,555.9544145480002,1.523117132879428e-81
ENSG00000170989.10,554.6894348915964,2.0343953976127064e-81
ENSG00000163815.6,552.6364346744571,3.2566898450066625e-81
ENSG00000101331.17,551.177190648508,4.552713279543431e-81
ENSG00000112782.19,543.7846976116763,2.503618622103478e-80
ENSG00000104967.8,543.2736152449619,2.8180552010862495e-80
ENSG00000171596.7,542.0458980450283,3.745276401777939e-80
ENSG00000134917.10,537.1603397376565,1.1656639564938487e-79
ENSG00000154133.15,522.6185434344566,3.536890868466509e-78
ENSG00000151718.16,516.320659784785,1.5749770864056185e-77
ENSG00000260908.1,514.201186260851,2.6092048021683753e-77
ENSG00000169744.13,510.9316151266363,5.696914337178068e-77
ENSG00000139567.13,508.4191167654287,1.039965900721283e-76
ENSG00000157654.19,507.4046483658851,1.3266229561740281e-76
ENSG00000165810.17,504.1147703599029,2.926725415313805e-76
ENSG00000107742.13,501.84365575178833,5.061590306568218e-76
ENSG00000261371.6,497.35747664903005,1.4992537001355942e-75
ENSG00000166292.12,495.47375687064755,2.3689124550568314e-75
ENSG00000244280.1,493.46349914096584,3.863667352708777e-75
ENSG00000206172.8,493.41997521536064,3.9048505490626587e-75
ENSG00000101307.16,489.36214358022676,1.051556256845012e-74
ENSG00000130307.12,488.82692760879763,1.198712618172018e-74
ENSG00000231322.5,488.2363691678757,1.3852129398451394e-74
ENSG00000169252.6,487.5824829972196,1.6259153134231548e-74
ENSG00000120913.23,482.6004927807275,5.5311871095164e-74
ENSG00000109205.16,482.1480373654033,6.183678482621495e-74
ENSG00000150048.10,481.99495039653306,6.421519524036931e-74
ENSG00000115361.8,481.5623395513933,7.144494079899807e-74
ENSG00000164736.6,481.4374671785633,7.367999053837242e-74
ENSG00000135917.16,481.36627771523985,7.498547849682143e-74
ENSG00000022267.19,481.23091660150794,7.753218794034996e-74
ENSG00000138669.9,476.57777012926266,2.451132888188531e-73
ENSG00000204305.14,475.092766602919,3.5434071557806465e-73
ENSG00000114790.13,473.8813623594462,4.788222923030693e-73
ENSG00000257894.2,472.40111200974314,6.921103228670528e-73
ENSG00000118526.7,469.7133715816536,1.3531399403795964e-72
ENSG00000249751.4,465.0454755117764,4.3553507866131257e-72
ENSG00000103241.7,463.4061171117123,6.575455094417061e-72
ENSG00000259417.3,463.1660354235492,6.98477512771636e-72
