ensembl_id,gene_symbol,gene_name,gene_type,summary,chromosome
ENSG00000224215,C10orf67-AS1,C10orf67 antisense RNA 1,ncRNA,N/A,10
ENSG00000180440,SERTM1,serine rich and transmembrane domain containing 1,protein-coding,"Located in intracellular membrane-bounded organelle. [provided by Alliance of Genome Resources, Apr 2022]...",13
ENSG00000261863,LINC01996,long intergenic non-protein coding RNA 1996,Unknown,N/A,17
ENSG00000150625,GPM6A,glycoprotein M6A,protein-coding,"Predicted to enable calcium channel activity. Involved in neuron migration and stem cell differentiation. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]...",4
ENSG00000108576,SLC6A4,solute carrier family 6 member 4,protein-coding,This gene encodes an integral membrane protein that transports the neurotransmitter serotonin from synaptic spaces into presynaptic neurons. The encoded protein terminates the action of serotonin and ...,17
ENSG00000158764,ITLN2,intelectin 2,protein-coding,"Predicted to enable oligosaccharide binding activity. Predicted to be active in extracellular space. [provided by Alliance of Genome Resources, Apr 2022]...",1
ENSG00000140600,SH3GL3,"SH3 domain containing GRB2 like 3, endophilin A3",protein-coding,Enables identical protein binding activity. Predicted to be involved in synaptic vesicle uncoating. Predicted to be located in acrosomal vesicle; early endosome membrane; and presynapse. Predicted to ...,Unknown
ENSG00000161649,CD300LG,CD300 molecule like family member g,protein-coding,"Members of the CD300 (see MIM 606786)-like (CD300L) family, such as CD300LG, are widely expressed on hematopoietic cells. All CD300L proteins are type I cell surface glycoproteins that contain a singl...",17
ENSG00000102683,SGCG,sarcoglycan gamma,protein-coding,"This gene encodes gamma-sarcoglycan, one of several sarcolemmal transmembrane glycoproteins that interact with dystrophin. The dystrophin-glycoprotein complex (DGC) spans the sarcolemma and is compris...",13
ENSG00000154342,WNT3A,Wnt family member 3A,protein-coding,"The WNT gene family consists of structurally related genes which encode secreted signaling proteins. These proteins have been implicated in oncogenesis and in several developmental processes, includin...",1
ENSG00000169218,RSPO1,R-spondin 1,protein-coding,"This gene encodes a secreted activator protein with two cysteine-rich, furin-like domains and one thrombospondin type 1 domain. The encoded protein is a ligand for leucine-rich repeat-containing G-pro...",1
ENSG00000197465,GYPE,glycophorin E (MNS blood group),protein-coding,The protein encoded by this gene is a sialoglycoprotein and a type I membrane protein. It is a member of a gene family with GPA and GPB genes. This encoded protein might carry the M blood group antige...,4
ENSG00000135604,STX11,syntaxin 11,protein-coding,This gene encodes a member of the syntaxin family. Syntaxins have been implicated in the targeting and fusion of intracellular transport vesicles. This family member may regulate protein transport amo...,6
ENSG00000159307,SCUBE1,"signal peptide, CUB domain and EGF like domain containing 1",protein-coding,"This gene encodes a cell surface glycoprotein that is a member of the SCUBE (signal peptide, CUB domain, EGF (epidermal growth factor)-like protein) family. Family members have an amino-terminal signa...",22
ENSG00000246430,LINC00968,long intergenic non-protein coding RNA 968,ncRNA,N/A,8
ENSG00000235387,SPAAR,small regulatory polypeptide of amino acid response,protein-coding,Involved in cellular response to amino acid stimulus and negative regulation of TORC1 signaling. Located in late endosome membrane. Is integral component of lysosomal membrane. Colocalizes with lysoso...,9
ENSG00000182010,RTKN2,rhotekin 2,protein-coding,Involved in negative regulation of intrinsic apoptotic signaling pathway; positive regulation of NF-kappaB transcription factor activity; and positive regulation of NIK/NF-kappaB signaling. Located in...,10
ENSG00000134115,CNTN6,contactin 6,protein-coding,The protein encoded by this gene is a member of the immunoglobulin superfamily. It is a glycosylphosphatidylinositol (GPI)-anchored neuronal membrane protein that functions as a cell adhesion molecule...,3
ENSG00000168952,STXBP6,syntaxin binding protein 6,protein-coding,"STXBP6 binds components of the SNARE complex (see MIM 603215) and may be involved in regulating SNARE complex formation (Scales et al., 2002 [PubMed 12145319]).[supplied by OMIM, Mar 2008]...",14
ENSG00000234281,LANCL1-AS1,LANCL1 antisense RNA 1,Unknown,N/A,2
